School_name,city,zipcode,elementary_school,intermediate_school,middle_school,high_school,school_grade,title_i_status,total_students,african_american,african_american_percent,hispanic,hispanic_percent,native_american,native_american_percent,white,white_percent,multiple_race,multiple_race_percent,asian,asian_percent,pacific_islander,pacific_islander_percent,proficiency_pts,Grad_Rate_pts,Dropout_rate,CCRI_points,promotion_rate,No_of_students_adv_placement_course,Students_with_Chronic_Absenteeism,crime_rate,total_students_bullied,personnel_federal_expenditure,personnel_state_and_local_expenditure,non_personnel_federal_expenditure,non_personnel_state_and_local_expenditure,total_per_pupil_expenditure,acad_focus_1,acad_focus_2,acad_focus_3,acad_focus_4,acad_focus_5
Greenfield Junior High School,Gilbert,85296,0,0,1,0,4,0,1202,10,10.0,278,23.13,10,10.0,808,67.22,63,5.24,29,2.41,0,0.0,21.53,8.84,0.0,20.1,100.0,0.0,325.0,26.0,5.0, 203.18, 5744.07, 414.38, 152.58, 6514.21,1,1,1,1,1
Greenway High School,Phoenix,85053,0,0,0,1,5,1,1346,98,7.28,554,41.16,10,10.0,567,42.13,48,3.57,51,3.79,10,10.0,20.44,10.0,0.97,20.0,98.22,182.0,606.0,56.0,0.0, 1484.41, 9624.00, 245.65, 1184.33, 12538.39,0,0,0,0,0
Greenway Middle School,Phoenix,85032,0,0,1,0,3,1,418,20,4.79,352,84.21,10,10.0,26,6.22,10,10.0,10,10.0,0,0.0,7.84,8.84,0.0,20.1,100.0,0.0,277.0,46.0,0.0, 1343.71, 8703.91, 190.90, 1578.40, 11816.90,1,1,1,1,1
Hamilton High School,Chandler,85248,0,0,1,1,5,0,3828,302,7.89,821,21.45,10,10.0,1665,43.49,229,5.98,716,18.7,10,10.0,27.28,10.0,2.86,16.4,99.03,1336.0,1455.0,37.0,7.0, 238.96, 6331.79, 73.59, 749.36, 7393.70,0,0,0,0,0
Heritage Academy,Mesa,85210,0,0,1,1,5,0,782,10,10.0,204,26.09,10,10.0,551,70.46,14,1.79,10,10.0,10,10.0,20.51,10.0,0.92,20.0,98.69,53.0,88.0,0.0,1.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Heritage Academy Laveen,Laveen,85339,0,0,1,1,4,0,650,52,8.0,351,54.0,10,10.0,191,29.39,24,3.69,23,3.54,10,10.0,16.91,10.0,0.2,20.0,99.37,71.0,171.0,0.0,4.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,1,1,1,1,1
Highland High School,Gilbert,85234,0,0,1,1,5,0,3168,62,1.96,617,19.48,27,0.85,2188,69.07,147,4.64,105,3.31,22,0.69,24.02,10.0,2.06,19.2,98.49,655.0,1171.0,17.0,3.0, 132.62, 5695.06, 42.98, 236.94, 6107.61,0,0,0,0,0
Highland Jr High School,Mesa,85212,0,0,1,0,4,0,979,24,2.45,210,21.45,10,10.0,628,64.15,58,5.92,34,3.47,10,10.0,21.44,8.84,0.0,20.1,100.0,0.0,296.0,27.0,19.0, 217.98, 6425.71, 206.42, 30.61, 6880.72,1,1,1,1,1
Higley High School,Gilbert,85295,0,0,1,1,5,0,2137,91,4.26,434,20.31,10,10.0,1414,66.17,109,5.1,66,3.09,10,10.0,26.16,10.0,0.65,18.0,99.72,513.0,851.0,5.0,0.0, 467.24, 6418.77, 119.98, 1047.59, 8053.58,0,0,0,0,0
Hillcrest Middle School,Glendale,85310,0,0,1,0,5,0,898,19,2.12,123,13.7,10,10.0,684,76.17,35,3.9,30,3.34,10,10.0,26.28,8.84,0.0,20.1,99.78,0.0,275.0,23.0,19.0, 384.90, 4950.33, 28.41, 224.27, 5587.91,1,1,1,1,1
Hope High School,Phoenix,85043,0,0,0,1,4,1,141,28,19.86,97,68.79,10,10.0,10,10.0,10,10.0,10,10.0,0,0.0,1.9,5.08,19.82,31.8,77.84,0.0,224.0,17.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Hope High School Online,Glendale,85306,0,0,0,1,4,0,466,30,6.44,178,38.2,10,10.0,221,47.42,23,4.94,10,10.0,0,0.0,15.46,8.84,15.86,20.1,88.48,0.0,0.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Horizon High School,Scottsdale,85254,0,0,1,1,5,0,1912,38,1.99,275,14.38,10,10.0,1420,74.27,109,5.7,45,2.35,10,10.0,29.94,10.0,0.99,18.1,98.8,472.0,265.0,21.0,0.0, 497.91, 6246.83, 78.32, 956.86, 7779.92,1,1,1,1,1
Imagine Prep Surprise,Surprise,85379,0,0,0,1,4,1,290,10,10.0,98,33.79,0,0.0,145,50.0,21,7.24,10,10.0,0,0.0,17.36,10.0,2.28,15.1,99.65,0.0,54.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Independence High School,Glendale,85303,0,0,0,1,4,1,2041,150,7.35,1604,78.59,10,10.0,166,8.13,20,0.98,79,3.87,10,10.0,16.95,10.0,1.9,18.5,98.77,289.0,1174.0,36.0,0.0, 898.21, 7085.61, 202.60, 774.49, 8960.91,0,0,0,0,0
Intelli-School,Chandler,85225,0,0,0,1,4,1,51,10,10.0,38,74.51,0,0.0,10,10.0,10,10.0,0,0.0,0,0.0,15.46,8.84,31.25,20.1,77.19,0.0,101.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Intelli-School - Metro Center,Phoenix,85029,0,0,0,1,4,1,54,10,10.0,29,53.7,10,10.0,18,33.33,0,0.0,10,10.0,0,0.0,3.03,2.93,29.08,35.0,75.0,0.0,116.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Intelli-School - Paradise Valley,Phoenix,85022,0,0,0,1,4,1,62,0,0.0,10,10.0,0,0.0,30,48.39,10,10.0,0,0.0,0,0.0,4.65,4.38,24.43,33.6,89.47,0.0,107.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
Intelli-School Glendale,Glendale,85306,0,0,0,1,4,1,54,10,10.0,15,27.78,10,10.0,32,59.26,10,10.0,10,10.0,0,0.0,15.46,3.78,23.64,35.0,89.58,0.0,102.0,0.0,0.0, 0.00, 10009.70, 0.00, 1006.65, 10028.44,0,0,0,0,0
International Commerce High School - Phoenix,Phoenix,85014,0,0,0,1,5,0,200,23,11.5,153,76.5,10,10.0,12,6.0,10,10.0,0,0.0,0,0.0,15.46,6.46,21.4,34.8,75.23,0.0,2.0,0.0,0.0, 424.07, 8353.64, 21.21, 4783.81, 13582.73,1,1,1,1,1
