School_name ,school_type,city ,zipcode,class_range, total_students ,student_teacher_ratio, nat_rank ,az_rank,female_students,female_students_percent,district_female_students,district_female_students_percent,male_students,male_students_percent,district_male_students,district_male_students_percent,white_students,white_students_percent,district_white_students,district_white_students_percent,hispanic_students,hispanic_students_percent,district_hispanic_students,district_hispanic_students_percent,asian_students,asian_students_percent,district_asian_students,district_asian_students_percent,two_or_moreR_students,two_or_moreR_students_percent,district_two_or_moreR_students,district_two_or_moreR_students_percent,black,black_percent,district_black,district_black_percent,pacific_islander,pacific_islander_percent,district_pacific_islander,district_pacific_islander_percent,american_indian,american_indian_percent,district_american_indian,district_american_indian_percent,lunch_assist_not_eligible,lunch_assist_not_eligible_percent,district_lunch_assist_not_eligible,district_lunch_assist_not_eligible_percent,lunch_assist_red_price,lunch_assist_red_price_percent,district_lunch_assist_red_price,district_lunch_assist_red_price_percent,lunch_assist_free,lunch_assist_free_percent,district_lunch_assist_free,district_lunch_assist_free_percent,nearby_schools_dict
Scottsdale Online Learning,Public,Scottsdale,85257,KG - 12,94,8.7:1,"20,721st out of 26,089",416th out of 659,52,55%,"4,249",50%,42,45%,"4,240",50%,63,67%,"5,573",66%,22,23%,"1,806",21%,3,3%,325,4%,3,3%,508,6%,2,2%,68,1%,1,1%,182,2%,0,0%,27,0%,88,(94%),"6,756",80%,3,(3%),226,3%,3,(3%),"1,507",18%,"{'Coronado High School': '2 miles', 'Arcadia High School': '3 miles', 'Ville De Marie Academy': '3 miles', 'Saguaro High School': '5 miles', 'Camelback High School': '5 miles', 'Tempe High School': '5 miles', 'Phoenix Country Day School': '5 miles', 'Mcclintock High School': '6 miles', 'The Aces-Tempe': '6 miles', 'Evit - East Valley Institute of Technology': '7 miles'}"
Sunrise Middle School,Public,Scottsdale,85254,07 - 08,451,19.4:1,Unranked,Unknown,234,52%,"7,184",48%,217,48%,"7,796",52%,279,62%,"8,983",60%,118,26%,"4,320",29%,20,4%,560,4%,20,4%,442,3%,12,3%,487,3%,2,0%,158,1%,0,0%,30,0%,309,(69%),"11,173",75%,108,(24%),"3,231",22%,34,(8%),576,4%,"{'Horizon High School': '1 miles', 'Scottsdale Christian Academy': '1 miles', 'Desert Shadows Middle School': '2 miles', 'Sweetwater Community School': '2 miles', 'Pvonline': '3 miles', 'Greenway Middle School': '3 miles', 'Roadrunner School': '3 miles', 'Paradise Valley High School': '3 miles', 'Paradise Valley Christian Preparatory': '4 miles', 'Shadow Mountain High School': '4 miles'}"
The New Foundation-Marion Burton School,Private,Scottsdale,85257,06 - 12,40,7:1,"5,800th out of 7,602",56th out of 74,28,70%,"7,056",54%,12,30%,"6,070",46%,21,53%,"8,155",65%,14,35%,"2,217",18%,3,8%,137,1%,2,5%,652,5%,0,0%,630,5%,0,0%,43,0%,0,0%,746,6%,,,,,,,,,,,,,"{'Coronado High School': '1 miles', 'Ville De Marie Academy': '1 miles', 'Scottsdale Online Learning': '3 miles', 'Tempe High School': '4 miles', 'The Aces-Tempe': '4 miles', 'Carson Junior High School': '5 miles', 'Mcclintock High School': '5 miles', 'Arcadia High School': '5 miles', 'Saguaro High School': '5 miles', 'Westwood High School': '5 miles'}"
Ville De Marie Academy,Private,Scottsdale,85257,KG - 12,109,10:1,"4,017th out of 7,602",36th out of 74,57,52%,"6,070",46%,52,48%,"7,056",54%,93,85%,"8,155",65%,11,10%,"2,217",18%,4,4%,746,6%,1,1%,137,1%,0,0%,630,5%,0,0%,43,0%,0,0%,652,5%,,,,,,,,,,,,,"{'Coronado High School': '2 miles', 'Scottsdale Online Learning': '3 miles', 'The Aces-Tempe': '4 miles', 'Tempe High School': '4 miles', 'Evit - East Valley Institute of Technology': '4 miles', 'Westwood High School': '5 miles', 'Carson Junior High School': '5 miles', 'Mcclintock High School': '5 miles', 'Saguaro High School': '5 miles', 'Arcadia High School': '5 miles'}"
West-Mec - Horizon High School,Public,Scottsdale,85254,09 - 12,,,Unranked,Unranked,,,183,43%,,,238,57%,,,10,2%,,,2,0%,,,182,43%,,,186,44%,,,29,7%,,,5,1%,,,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Horizon High School': '0 miles', 'Sunrise Middle School': '1 miles', 'Scottsdale Christian Academy': '2 miles', 'Desert Shadows Middle School': '2 miles', 'Sweetwater Community School': '3 miles', 'Paradise Valley High School': '3 miles', 'Pvonline': '4 miles', 'Greenway Middle School': '4 miles', 'Roadrunner School': '4 miles', 'Chaparral High School': '4 miles'}"
Arizona Charter Academy,Public,Surprise,85374,KG - 12,788,-1:1,"7,511th out of 26,089",149th out of 659,406,52%,406,52%,382,48%,382,48%,478,61%,478,61%,166,21%,166,21%,107,14%,107,14%,21,3%,21,3%,7,1%,7,1%,7,1%,7,1%,2,0%,2,0%,438,(56%),438,56%,244,(31%),244,31%,106,(13%),106,13%,"{'Valley Vista High School': '3 miles', 'Dysart High School': '3 miles', 'Liberty High School': '6 miles', 'Willow Canyon High School': '6 miles', 'Centennial High School': '7 miles', 'Peoria High School': '7 miles', 'Sunrise Mountain High School': '7 miles', 'Shadow Ridge High School': '8 miles', 'Peoria Flex Academy': '8 miles', 'Raymond S. Kellis': '8 miles'}"
Dysart Ischool,Public,Surprise,85374,07 - 12,21,7:1,"24,238th out of 26,089",518th out of 659,13,62%,"3,917",49%,8,38%,"4,124",51%,13,62%,"3,944",49%,5,24%,"2,801",35%,1,5%,296,4%,1,5%,29,0%,1,5%,209,3%,0,0%,692,9%,0,0%,70,1%,18,(86%),"4,398",55%,3,(14%),"2,954",37%,0,(0%),689,9%,"{'Valley Vista High School': '1 miles', 'Dysart High School': '4 miles', 'Willow Canyon High School': '4 miles', 'Shadow Ridge High School': '6 miles', 'Liberty High School': '8 miles', 'Peoria High School': '9 miles', 'Centennial High School': '9 miles', 'Sunrise Mountain High School': '9 miles', 'Millennium High School': '10 miles', 'Raymond S. Kellis': '10 miles'}"
E-Institute at Surprise,Public,Surprise,85388,09 - 12,187,-1:1,"17,635th out of 26,089",325th out of 659,94,50%,461,53%,93,50%,401,47%,99,53%,420,49%,63,34%,336,39%,10,5%,48,6%,6,3%,27,3%,5,3%,19,2%,3,2%,10,1%,1,1%,2,0%,84,(45%),296,34%,81,(43%),461,53%,22,(12%),105,12%,"{'Valley Vista High School': '2 miles', 'Willow Canyon High School': '2 miles', 'Shadow Ridge High School': '4 miles', 'Dysart High School': '5 miles', 'Millennium High School': '10 miles', 'Liberty High School': '10 miles', 'Verrado High School': '11 miles', 'Peoria High School': '11 miles', 'Centennial High School': '11 miles', 'Sunrise Mountain High School': '11 miles'}"
Imagine Prep Surprise,Public,Surprise,85379,09 - 12,293,-1:1,"14,874th out of 26,089",265th out of 659,155,53%,155,53%,138,47%,138,47%,173,59%,173,59%,80,27%,80,27%,15,5%,15,5%,13,4%,13,4%,11,4%,11,4%,1,0%,1,0%,0,0%,0,0%,218,(74%),218,74%,67,(23%),67,23%,8,(3%),8,3%,"{'Valley Vista High School': '1 miles', 'Willow Canyon High School': '3 miles', 'Dysart High School': '4 miles', 'Shadow Ridge High School': '5 miles', 'Millennium High School': '9 miles', 'Liberty High School': '9 miles', 'Peoria High School': '10 miles', 'Centennial High School': '10 miles', 'Raymond S. Kellis': '10 miles', 'Sunrise Mountain High School': '10 miles'}"
Paradise Honors High School,Public,Surprise,85374,09 - 12,514,-1:1,"10,575th out of 26,089",196th out of 659,289,56%,289,56%,225,44%,225,44%,369,72%,369,72%,93,18%,93,18%,27,5%,27,5%,17,3%,17,3%,4,1%,4,1%,3,1%,3,1%,1,0%,1,0%,380,(74%),380,74%,73,(14%),73,14%,61,(12%),61,12%,"{'Shadow Ridge High School': '2 miles', 'Willow Canyon High School': '3 miles', 'Valley Vista High School': '4 miles', 'Dysart High School': '6 miles', 'Verrado High School': '8 miles', 'Millennium High School': '8 miles', 'Peoria High School': '12 miles', 'Desert Edge High School': '12 miles', 'Raymond S. Kellis': '12 miles', 'Westview High School': '12 miles'}"
Shadow Ridge High School,Public,Surprise,85388,09 - 12,"2,003",25.4:1,"1,579th out of 26,089",53rd out of 659,"1,040",52%,"4,124",51%,963,48%,"3,917",49%,"1,173",59%,"3,944",49%,492,25%,"2,801",35%,174,9%,692,9%,74,4%,209,3%,68,3%,296,4%,15,1%,70,1%,7,0%,29,0%,"1,433",(72%),"4,398",55%,439,(22%),"2,954",37%,131,(7%),689,9%,"{'Willow Canyon High School': '4 miles', 'Valley Vista High School': '6 miles', 'Verrado High School': '7 miles', 'Dysart High School': '8 miles', 'Millennium High School': '8 miles', 'Desert Edge High School': '11 miles', 'Westview High School': '12 miles', 'Agua Fria High School': '13 miles', 'Raymond S. Kellis': '13 miles', 'Gary K. Herberger Young Scholars Academy': '18 miles'}"
Valley Vista High School,Public,Surprise,85374,09 - 12,"2,531",26.8:1,"608th out of 26,089",27th out of 659,"1,288",51%,"3,917",49%,"1,243",49%,"4,124",51%,"1,142",45%,"3,944",49%,973,38%,"2,801",35%,245,10%,692,9%,106,4%,296,4%,37,1%,209,3%,18,1%,70,1%,10,0%,29,0%,"1,215",(48%),"4,398",55%,"1,056",(42%),"2,954",37%,260,(10%),689,9%,"{'Willow Canyon High School': '4 miles', 'Dysart High School': '4 miles', 'Shadow Ridge High School': '6 miles', 'Liberty High School': '9 miles', 'Peoria High School': '9 miles', 'Centennial High School': '9 miles', 'Sunrise Mountain High School': '10 miles', 'Millennium High School': '10 miles', 'Raymond S. Kellis': '10 miles', 'Gary K. Herberger Young Scholars Academy': '14 miles'}"
West-Mec - Valley Vista High School,Public,Surprise,85374,09 - 12,3,-1:1,"25,708th out of 26,089",602nd out of 659,2,67%,183,43%,1,33%,238,57%,2,67%,186,44%,1,33%,29,7%,0,0%,10,2%,0,0%,2,0%,0,0%,182,43%,0,0%,5,1%,0,0%,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Valley Vista High School': '1 miles', 'Willow Canyon High School': '4 miles', 'Dysart High School': '4 miles', 'Shadow Ridge High School': '6 miles', 'Liberty High School': '9 miles', 'Peoria High School': '9 miles', 'Centennial High School': '9 miles', 'Sunrise Mountain High School': '10 miles', 'Millennium High School': '10 miles', 'Raymond S. Kellis': '10 miles'}"
West-Mec - Willow Canyon High School,Public,Surprise,85374,09 - 12,,,Unranked,Unranked,,,183,43%,,,238,57%,,,10,2%,,,2,0%,,,182,43%,,,186,44%,,,29,7%,,,5,1%,,,7,2%,,,421,100%,,,0,0%,,,0,0%,"{'Willow Canyon High School': '1 miles', 'Valley Vista High School': '4 miles', 'Shadow Ridge High School': '4 miles', 'Dysart High School': '7 miles', 'Verrado High School': '10 miles', 'Millennium High School': '11 miles', 'Liberty High School': '11 miles', 'Centennial High School': '13 miles', 'Peoria High School': '13 miles', 'Sunrise Mountain High School': '13 miles'}"
Willow Canyon High School,Public,Surprise,85374,09 - 12,"1,929",26.1:1,"1,799th out of 26,089",55th out of 659,980,51%,"3,917",49%,949,49%,"4,124",51%,"1,156",60%,"3,944",49%,490,25%,"2,801",35%,135,7%,692,9%,75,4%,296,4%,59,3%,209,3%,11,1%,70,1%,3,0%,29,0%,"1,248",(65%),"4,398",55%,550,(29%),"2,954",37%,131,(7%),689,9%,"{'Valley Vista High School': '4 miles', 'Shadow Ridge High School': '4 miles', 'Dysart High School': '7 miles', 'Verrado High School': '10 miles', 'Millennium High School': '11 miles', 'Liberty High School': '11 miles', 'Sunrise Mountain High School': '13 miles', 'Peoria High School': '13 miles', 'Centennial High School': '13 miles', 'Gary K. Herberger Young Scholars Academy': '17 miles'}"
Chrysalis Academy Day School for Children with Aut,Private,Tempe,85283,01 - 12,53,11:1,"5,353rd out of 7,602",50th out of 74,30,57%,"7,034",54%,23,43%,"6,059",46%,36,68%,"8,134",65%,7,13%,629,5%,6,11%,"2,209",18%,3,6%,652,5%,1,2%,743,6%,0,0%,43,0%,0,0%,137,1%,,,,,,,,,,,,,"{'Marcos De Niza High School': '2 miles', 'Mcclintock High School': '2 miles', 'Compadre High School': '2 miles', 'Tempe High School': '3 miles', 'Rhodes Junior High School': '4 miles', 'Corona Del Sol High School': '4 miles', 'Dobson High School': '4 miles', 'The Aces-Tempe': '4 miles', 'Arizona Cultural Academy & College Prep': '4 miles', 'Desert Garden Montessori': '4 miles'}"
Compadre High School,Public,Tempe,85283,09 - 12,411,16.4:1,"12,361st out of 26,089",224th out of 659,243,59%,"7,096",51%,168,41%,"6,895",49%,212,52%,"4,727",34%,68,17%,"1,568",11%,63,15%,"5,752",41%,57,14%,585,4%,7,2%,549,4%,2,0%,82,1%,2,0%,728,5%,384,(93%),"13,821",99%,24,(6%),135,1%,3,(1%),35,0%,"{'Marcos De Niza High School': '2 miles', 'Chrysalis Academy Day School for Children with Aut': '2 miles', 'Desert Garden Montessori': '3 miles', 'Corona Del Sol High School': '3 miles', 'Arizona Cultural Academy & College Prep': '3 miles', 'Valley Christian High School': '4 miles', 'Mcclintock High School': '4 miles', 'Tempe High School': '4 miles', 'Mountain Pointe High School': '4 miles', 'Dobson High School': '5 miles'}"
Corona Del Sol High School,Public,Tempe,85284,09 - 12,"2,879",24.2:1,"330th out of 26,089",15th out of 659,"1,468",51%,"7,096",51%,"1,411",49%,"6,895",49%,"1,691",59%,"5,752",41%,590,20%,"4,727",34%,246,9%,728,5%,159,6%,"1,568",11%,121,4%,549,4%,63,2%,585,4%,9,0%,82,1%,"2,864",(99%),"13,821",99%,12,(0%),135,1%,3,(0%),35,0%,"{'Marcos De Niza High School': '3 miles', 'Compadre High School': '3 miles', 'Desert Garden Montessori': '3 miles', 'Seton Catholic Preparatory High School': '3 miles', 'Valley Christian High School': '3 miles', 'Mountain Pointe High School': '4 miles', 'Arizona College Prep Erie Campus': '4 miles', 'Chrysalis Academy Day School for Children with Aut': '4 miles', 'Chandler Online Academy': '5 miles', 'Rhodes Junior High School': '5 miles'}"
Edoptions Hs Learning Center,Public,Tempe,85282,09 - 12,596,-1:1,"9,448th out of 26,089",180th out of 659,307,52%,387,53%,289,48%,346,47%,308,52%,309,42%,224,38%,360,49%,26,4%,26,4%,24,4%,24,3%,9,2%,9,1%,4,1%,4,1%,1,0%,1,0%,509,(85%),517,71%,78,(13%),207,28%,9,(2%),9,1%,"{'Mcclintock High School': '1 miles', 'Rhodes Junior High School': '2 miles', 'The Aces-Tempe': '2 miles', 'Marcos De Niza High School': '3 miles', 'Evit - East Valley Institute of Technology': '3 miles', 'East Valley Academy': '3 miles', 'Chrysalis Academy Day School for Children with Aut': '3 miles', 'Tempe High School': '3 miles', 'Dobson High School': '3 miles', 'Carson Junior High School': '4 miles'}"
Grand Canyon College Preparatory Charter School,Public,Tempe,85283,06 - 12,67,-1:1,"21,850th out of 26,089",452nd out of 659,41,61%,41,61%,26,39%,26,39%,38,57%,38,57%,14,21%,14,21%,9,13%,9,13%,4,6%,4,6%,2,3%,2,3%,0,0%,0,0%,0,0%,0,0%,,,67,100%,,,0,0%,,,0,0%,"{'Marcos De Niza High School': '2 miles', 'Corona Del Sol High School': '2 miles', 'Seton Catholic Preparatory High School': '3 miles', 'Chrysalis Academy Day School for Children with Aut': '3 miles', 'Dobson High School': '3 miles', 'Compadre High School': '3 miles', 'Rhodes Junior High School': '4 miles', 'Mcclintock High School': '4 miles', 'Desert Garden Montessori': '4 miles', 'Valley Christian High School': '4 miles'}"
Humanities and Science High School - Tempe,Public,Tempe,85282,09 - 12,10,-1:1,"25,082nd out of 26,089",560th out of 659,6,60%,105,44%,4,40%,135,56%,6,60%,142,59%,2,20%,28,12%,1,10%,42,18%,1,10%,2,1%,0,0%,10,4%,0,0%,0,0%,0,0%,16,7%,,,240,100%,,,0,0%,,,0,0%,"{'Mcclintock High School': '2 miles', 'Tempe High School': '2 miles', 'The Aces-Tempe': '2 miles', 'Chrysalis Academy Day School for Children with Aut': '3 miles', 'Marcos De Niza High School': '3 miles', 'Ville De Marie Academy': '4 miles', 'Compadre High School': '4 miles', 'Evit - East Valley Institute of Technology': '4 miles', 'Rhodes Junior High School': '4 miles', 'Westwood High School': '5 miles'}"
Humanities and Sciences Academy Arizona,Public,Tempe,85282,09 - 12,31,-1:1,"23,625th out of 26,089",499th out of 659,19,61%,135,56%,12,39%,105,44%,21,68%,142,59%,5,16%,28,12%,2,6%,42,18%,2,6%,16,7%,1,3%,10,4%,0,0%,0,0%,0,0%,2,1%,,,240,100%,,,0,0%,,,0,0%,"{'Mcclintock High School': '2 miles', 'Tempe High School': '2 miles', 'The Aces-Tempe': '2 miles', 'Chrysalis Academy Day School for Children with Aut': '3 miles', 'Marcos De Niza High School': '3 miles', 'Ville De Marie Academy': '4 miles', 'Compadre High School': '4 miles', 'Evit - East Valley Institute of Technology': '4 miles', 'Rhodes Junior High School': '4 miles', 'Westwood High School': '5 miles'}"
Integrity Education Centre,Public,Tempe,85281,KG - 12,52,-1:1,"22,533rd out of 26,089",473rd out of 659,32,62%,32,62%,20,38%,20,38%,32,62%,32,62%,11,21%,11,21%,4,8%,4,8%,3,6%,3,6%,2,4%,2,4%,0,0%,0,0%,0,0%,0,0%,39,(75%),39,75%,10,(19%),10,19%,3,(6%),3,6%,"{'Coronado High School': '2 miles', 'Scottsdale Online Learning': '2 miles', 'Ville De Marie Academy': '2 miles', 'Arcadia High School': '4 miles', 'Tempe High School': '4 miles', 'Mcclintock High School': '5 miles', 'The Aces-Tempe': '5 miles', 'Westwood High School': '5 miles', 'Saguaro High School': '5 miles', 'Evit - East Valley Institute of Technology': '5 miles'}"
International Commerce High School - Tempe,Public,Tempe,85282,09 - 12,199,-1:1,"17,274th out of 26,089",314th out of 659,112,56%,135,56%,87,44%,105,44%,115,58%,142,59%,39,20%,42,18%,21,11%,28,12%,14,7%,16,7%,9,5%,10,4%,1,1%,2,1%,0,0%,0,0%,,,240,100%,,,0,0%,,,0,0%,"{'Mcclintock High School': '2 miles', 'Tempe High School': '2 miles', 'The Aces-Tempe': '2 miles', 'Chrysalis Academy Day School for Children with Aut': '3 miles', 'Marcos De Niza High School': '3 miles', 'Ville De Marie Academy': '4 miles', 'Compadre High School': '4 miles', 'Evit - East Valley Institute of Technology': '4 miles', 'Rhodes Junior High School': '4 miles', 'Westwood High School': '5 miles'}"
James Madison Preparatory School,Public,Tempe,85283,07 - 12,177,-1:1,"17,914th out of 26,089",331st out of 659,100,56%,100,56%,77,44%,77,44%,128,72%,128,72%,27,15%,27,15%,8,5%,8,5%,5,3%,5,3%,5,3%,5,3%,3,2%,3,2%,1,1%,1,1%,,,177,100%,,,0,0%,,,0,0%,"{'Marcos De Niza High School': '1 miles', 'Mcclintock High School': '2 miles', 'Chrysalis Academy Day School for Children with Aut': '2 miles', 'Rhodes Junior High School': '3 miles', 'Compadre High School': '3 miles', 'Dobson High School': '3 miles', 'Seton Catholic Preparatory High School': '4 miles', 'The Aces-Tempe': '4 miles', 'East Valley Academy': '4 miles', 'Tempe High School': '4 miles'}"
Marcos De Niza High School,Public,Tempe,85283,09 - 12,"1,507",19:1,"3,319th out of 26,089",103rd out of 659,809,54%,"7,096",51%,698,46%,"6,895",49%,708,47%,"4,727",34%,402,27%,"5,752",41%,160,11%,585,4%,146,10%,"1,568",11%,41,3%,549,4%,39,3%,728,5%,11,1%,82,1%,"1,473",(98%),"13,821",99%,30,(2%),135,1%,4,(0%),35,0%,"{'Compadre High School': '2 miles', 'Chrysalis Academy Day School for Children with Aut': '2 miles', 'Corona Del Sol High School': '3 miles', 'Mcclintock High School': '3 miles', 'Seton Catholic Preparatory High School': '4 miles', 'Desert Garden Montessori': '4 miles', 'Rhodes Junior High School': '4 miles', 'The Aces-Tempe': '4 miles', 'Tempe High School': '4 miles', 'Dobson High School': '4 miles'}"
Mcclintock High School,Public,Tempe,85282,09 - 12,"1,847",22:1,"2,038th out of 26,089",71st out of 659,957,52%,"7,096",51%,890,48%,"6,895",49%,794,43%,"4,727",34%,606,33%,"5,752",41%,187,10%,"1,568",11%,99,5%,585,4%,74,4%,728,5%,69,4%,549,4%,18,1%,82,1%,"1,826",(99%),"13,821",99%,18,(1%),135,1%,3,(0%),35,0%,"{'The Aces-Tempe': '2 miles', 'Chrysalis Academy Day School for Children with Aut': '2 miles', 'Marcos De Niza High School': '3 miles', 'Tempe High School': '3 miles', 'Rhodes Junior High School': '3 miles', 'Evit - East Valley Institute of Technology': '3 miles', 'Compadre High School': '4 miles', 'East Valley Academy': '4 miles', 'Dobson High School': '4 miles', 'Carson Junior High School': '4 miles'}"
New School for the Arts,Public,Tempe,85281,09 - 12,196,-1:1,"17,363rd out of 26,089",317th out of 659,142,72%,142,72%,54,28%,54,28%,124,63%,124,63%,35,18%,35,18%,19,10%,19,10%,6,3%,6,3%,5,3%,5,3%,4,2%,4,2%,3,2%,3,2%,190,(97%),190,97%,3,(2%),3,2%,3,(2%),3,2%,"{'Tempe High School': '2 miles', 'Mcclintock High School': '2 miles', 'The Aces-Tempe': '2 miles', 'Chrysalis Academy Day School for Children with Aut': '3 miles', 'Evit - East Valley Institute of Technology': '4 miles', 'Ville De Marie Academy': '4 miles', 'Rhodes Junior High School': '4 miles', 'Marcos De Niza High School': '4 miles', 'Carson Junior High School': '4 miles', 'Compadre High School': '4 miles'}"
Pinnacle Charter High School,Public,Tempe,85283,09 - 12,43,-1:1,"22,979th out of 26,089",483rd out of 659,29,67%,29,67%,14,33%,14,33%,22,51%,22,51%,13,30%,13,30%,4,9%,4,9%,3,7%,3,7%,1,2%,1,2%,0,0%,0,0%,0,0%,0,0%,,,43,100%,,,0,0%,,,0,0%,"{'Marcos De Niza High School': '1 miles', 'Chrysalis Academy Day School for Children with Aut': '2 miles', 'Mcclintock High School': '3 miles', 'Compadre High School': '3 miles', 'Rhodes Junior High School': '3 miles', 'Corona Del Sol High School': '3 miles', 'Dobson High School': '3 miles', 'The Aces-Tempe': '4 miles', 'Seton Catholic Preparatory High School': '4 miles', 'Tempe High School': '4 miles'}"
Pinnacle High School - Tempe,Public,Tempe,85282,09 - 12,100,-1:1,"20,470th out of 26,089",410th out of 659,53,53%,188,44%,47,47%,242,56%,48,48%,200,47%,30,30%,67,16%,12,12%,122,28%,7,7%,29,7%,3,3%,9,2%,0,0%,3,1%,0,0%,0,0%,,,430,100%,,,0,0%,,,0,0%,"{'Arizona Cultural Academy & College Prep': '2 miles', 'Compadre High School': '3 miles', 'Chrysalis Academy Day School for Children with Aut': '3 miles', 'Tempe High School': '3 miles', 'Mcclintock High School': '4 miles', 'Marcos De Niza High School': '4 miles', '91st Psalm Christian School': '4 miles', 'Mountain Pointe High School': '5 miles', 'Desert Garden Montessori': '5 miles', 'The Aces-Tempe': '5 miles'}"
Pinnacle Virtual High School,Public,Tempe,85282,06 - 12,330,-1:1,"14,054th out of 26,089",252nd out of 659,195,59%,242,56%,135,41%,188,44%,152,46%,200,47%,110,33%,122,28%,37,11%,67,16%,22,7%,29,7%,6,2%,9,2%,3,1%,3,1%,0,0%,0,0%,,,430,100%,,,0,0%,,,0,0%,"{'Mcclintock High School': '2 miles', 'Marcos De Niza High School': '2 miles', 'Chrysalis Academy Day School for Children with Aut': '2 miles', 'Tempe High School': '3 miles', 'Rhodes Junior High School': '3 miles', 'Compadre High School': '3 miles', 'The Aces-Tempe': '3 miles', 'Dobson High School': '3 miles', 'East Valley Academy': '4 miles', 'Evit - East Valley Institute of Technology': '4 miles'}"
Student Choice High School,Public,Tempe,85281,09 - 12,118,-1:1,"19,758th out of 26,089",386th out of 659,64,54%,93,49%,54,46%,96,51%,67,57%,77,41%,33,28%,84,44%,8,7%,11,6%,7,6%,10,5%,2,2%,3,2%,1,1%,4,2%,0,0%,0,0%,115,(97%),186,98%,3,(3%),3,2%,0,(0%),0,0%,"{'Ville De Marie Academy': '1 miles', 'Scottsdale Online Learning': '2 miles', 'Coronado High School': '2 miles', 'The Aces-Tempe': '4 miles', 'Tempe High School': '4 miles', 'Mcclintock High School': '5 miles', 'Arcadia High School': '5 miles', 'Carson Junior High School': '5 miles', 'Westwood High School': '5 miles', 'Evit - East Valley Institute of Technology': '5 miles'}"
